V1,V2,R_mean,G_mean,B_mean,RGB_mean,Class
0.010808588530653994,0.9085605705658483,26168.369495166487,29412.50268528464,24504.23200859291,26695.034729681345,0
0.0003441102433322998,0.6862108972599331,21702.896222664014,30311.163419483102,21090.175745526838,24368.078462557984,0
0.0005102315461054363,1.0360236872470545,35041.787336771646,34621.91418852189,31869.457697794358,33844.386407695965,2
0.0005341374136024415,0.6227747426062744,22882.984590429845,31903.40308191403,22178.621248986212,25655.002973776693,0
1.0484723598917265,0.9863888013400406,21837.73193601765,27603.037888752173,9294.66604438033,19578.47862305005,1
1.3657388149202554e-05,1.014913079769058,36055.27384065829,35605.8000893028,33851.66855903553,35170.91416299887,2
0.0002904032824210708,1.0488660615474186,22634.632224733614,31466.59089441395,21878.5353567969,25326.58615864815,0
0.00011738959340778719,-0.8409200745400929,34487.59520526148,34045.58990134719,31756.756550334147,33429.98055231427,2
0.017308418061470723,0.9398045388022853,37897.90732098802,37348.85759296139,34491.8205867491,36579.52850023284,2
0.0011630750570332706,1.0051115667714412,26162.59000259,29628.568764568765,24623.341103341103,26804.833290166618,0
4.2606580923974586e-05,0.44122419933200846,35905.222440748024,35593.27604253475,33890.22194073136,35129.57347467138,2
0.0005471867000972287,0.9515716789582336,34025.45965852025,34006.45463675929,31240.870438567123,33090.928244615556,2
5.492142783044362,0.8100875332256772,23528.128245653646,28698.993000677354,14066.844524723414,22097.98859035147,1
0.0005571992950022326,0.9978225973036134,26404.153686396676,29649.61163032191,25020.344755970924,27024.70335756317,0
8.533146440525506e-05,1.0260968372897525,33513.63356393662,33136.34635126088,31169.64249051551,32606.54080190434,2
0.00016951405306064684,-0.005417836660163715,32530.431631919484,32058.73644859813,29170.178576563623,31253.115552360414,2
0.00017341189010844197,-0.47118270953756375,31794.93787795492,31377.76800439802,29287.79329301814,30820.16639179036,2
0.0004689456003397605,0.9399717590510301,22005.863031483284,30758.80298604349,21684.138915936383,24816.26831115439,0
0.0002633199004256352,0.9901132003003675,32322.17915138816,33652.06495547407,28676.425353588267,31550.2231534835,0
0.0005560079861626599,0.9930623593364095,23063.259859933652,32076.29045337265,22097.810541835606,25745.786951713973,0
0.00101356334039939,0.9895475691696181,34800.07180109157,34686.261249241965,32039.88259551243,33842.07188194866,2
1.9382706195258726e-05,0.5258668287869104,37780.09522583966,37193.7758332261,35201.94363659761,36725.27156522113,2
0.000439976306921317,1.016027026746839,33762.134103072945,33638.775632930425,31233.78579589873,32878.23184396737,2
0.018206784752462936,0.9250828882233587,22367.609438567943,31849.39951179821,21700.0097640358,25305.672904800653,0
6.99007546265565e-05,-0.4763519680734245,36427.88673473606,36152.351535695096,34336.27646645447,35638.83824562854,2
0.00018759098920595487,1.0462311642076043,22610.60554885404,31758.127864897466,21932.85404101327,25433.862484921596,0
0.00024994749542978534,-0.826007022474337,35202.69724941725,34714.26834498835,32477.914405594405,34131.62666666667,2
0.0562651334179028,1.0745039525493412,26318.69337442219,29656.160246533127,24537.343605546994,26837.39907550077,0
